店舗名,産業,3市町
井上徳木工,漆器,鯖江市
和紙屋・杉原商店,和紙,越前市
長田製紙所,和紙,越前市
株式会社 晃梅,眼鏡,鯖江市
越前塗りの漆遊館,漆器,鯖江市
漆琳堂　直営店,漆器,鯖江市
久保田酒店,飲食,鯖江市
小柳箪笥店（kicoru）,箪笥,越前市
井上リボン工業株式会社,繊維,越前市
山田兄弟製紙／久兵衛,和紙,越前市
実生窯,焼物,越前町
風来窯,焼物,越前町
山田英夫商店,打刃物,越前市
福井WAZABI,その他,越前町
株式会社サカエマーク,その他,鯖江市
有限会社 やなせ和紙,和紙,越前市
BOSTON　CLUB　SABAE,眼鏡,鯖江市
ataW,その他,鯖江市
craftman Daidai,その他,越前町
TAKIPAPER,和紙,越前市
株式会社乾レンズ,眼鏡,鯖江市
漆器のだるま屋,漆器,鯖江市
Hacoa DIRECT STORE 福井店,漆器,鯖江市
有限会社 谷口眼鏡,眼鏡,鯖江市
タケフナイフビレッジ,打刃物,越前市
大吉餅,飲食,鯖江市
滝製紙所,和紙,越前市
ミート＆デリカささき,飲食,鯖江市
雲職人ニュアージュ,飲食,鯖江市
はごろもシフォン,飲食,鯖江市
山次製紙所,和紙,越前市
越前セラミカ,その他,越前市
豊彩窯−吉田豊一,焼物,越前町
土直漆器直営店,漆器,鯖江市
RYOZO,和紙,越前市
駒本蒔絵工房　KOMAYA,漆器,鯖江市
RYUSEN　FACTORY&STORE,打刃物,越前市
ファニチャーホリック,箪笥,越前市
柄と繪　etoe,打刃物,越前市
清水紙工,和紙,越前市
ベロ亭賽窯　ギャラリー,焼物,越前町
清水和紙株式会社,和紙,越前市
紙の文化博物館,和紙,越前市
卯立の工芸館,和紙,越前市
パピルス館,和紙,越前市
和紙処えちぜん,和紙,越前市
八田経編株式会社,繊維,鯖江市
KISSO　STORE,眼鏡,鯖江市
めがねミュージアム,眼鏡,鯖江市
SAVA!STORE,その他,鯖江市
ペーパーグラス福井　鯖江本店,眼鏡,鯖江市
中川政七商店,その他,鯖江市
五十嵐製紙,和紙,越前市
鯖江駅眼鏡,眼鏡,鯖江市
PlusJack,眼鏡,鯖江市
漆器久太郎,漆器,鯖江市
越前和紙ろまん,漆器,越前市
越前ギャラリーKITA'S,その他,越前市
竹ノ助,その他,越前市
一般社団法人SOE,その他,鯖江市
タクシー・レンタサイクル受付,その他,鯖江市
トークイベント受付,その他,鯖江市
まちひとしごと受付,その他,鯖江市
うるしの里会館,漆器,鯖江市
