date,lgcode,population
2015-08-01,182079,69017
2015-09-01,182079,69026
2015-10-01,182079,69037
2015-11-01,182079,69079
2015-12-01,182079,69138
2016-01-01,182079,69104
2016-02-01,182079,69127
2016-03-01,182079,69136
2016-04-01,182079,69095
2016-05-01,182079,69092
2016-06-01,182079,69126
2016-07-01,182079,69141
2016-08-01,182079,69145
2016-09-01,182079,69156
2016-10-01,182079,69193
2016-11-01,182079,69177
2016-12-01,182079,69156
2017-01-01,182079,69135
2017-02-01,182079,69109
2017-03-01,182079,69120
2017-04-01,182079,69126
2017-05-01,182079,69152
2017-06-01,182079,69146
2017-07-01,182079,69192
2017-08-01,182079,69187
2017-09-01,182079,69226
2017-10-01,182079,69253
2017-11-01,182079,69267
2017-12-01,182079,69305
2018-01-01,182079,69297
2018-02-01,182079,69282
2018-03-01,182079,69321
2018-04-01,182079,69345
2018-05-01,182079,69343
2018-06-01,182079,69338
2018-07-01,182079,69371
2018-08-01,182079,69405
2018-09-01,182079,69428
2018-10-01,182079,69434
2018-11-01,182079,69423
2018-12-01,182079,69434
2019-01-01,182079,69469
2019-02-01,182079,69438
2019-03-01,182079,69438
2019-04-01,182079,69374
2019-05-01,182079,69375
2019-06-01,182079,69357
2019-07-01,182079,69332
2019-08-01,182079,69303
2019-09-01,182079,69296
2019-10-01,182079,69299
2019-11-01,182079,69299
2019-12-01,182079,69363
2020-01-01,182079,69395
2020-02-01,182079,69350
2020-03-01,182079,69343
2020-04-01,182079,69339
2020-05-01,182079,69345
2020-06-01,182079,69348
2020-07-01,182079,69362
2020-08-01,182079,69350
2020-09-01,182079,69329
2020-10-01,182079,69313
2020-11-01,182079,69334
2020-12-01,182079,69328
2021-01-01,182079,69334
2021-02-01,182079,69330
2021-03-01,182079,69424
2021-04-01,182079,69353
2021-05-01,182079,69374
2021-06-01,182079,69352
2021-07-01,182079,69361
2021-08-01,182079,69357
2021-09-01,182079,69373
2021-10-01,182079,69389
2021-11-01,182079,69405
2021-12-01,182079,69396
2022-01-01,182079,69400
2022-02-01,182079,69397
2022-03-01,182079,69349
2022-04-01,182079,69289
2022-05-01,182079,69236
2022-06-01,182079,69257
2022-07-01,182079,69223
2022-08-01,182079,69166
2022-09-01,182079,69124
2022-10-01,182079,69053
2022-11-01,182079,68985
2022-12-01,182079,68952
2023-01-01,182079,68863
2023-02-01,182079,68788
2023-03-01,182079,68728
2023-04-01,182079,68646
2023-05-01,182079,68585
2023-06-01,182079,68559
2023-07-01,182079,68586
2023-08-01,182079,68552
2023-09-01,182079,68494
2023-10-01,182079,68446
2023-11-01,182079,68402
2023-12-01,182079,68390
